GameID,PlayerID,Q4_HSR_per_min,Q4_label_binary
788,119,37.80753138075314,Improve
788,130,29.76569037656904,Improve
788,146,26.753138075313814,Decline
788,152,24.44769874476987,Improve
788,201,14.000000000000002,Decline
788,244,25.93723849372385,Decline
788,283,8.665271966527197,Improve
788,331,32.58995815899582,Improve
811,130,28.99155794320798,Improve
811,146,31.358403683806603,Decline
811,152,27.075978511128163,Decline
811,155,45.78511128165771,Improve
811,174,24.460475825019184,Decline
811,194,10.950115118956257,Decline
811,201,17.9447429009977,Improve
811,203,25.584036838066005,Decline
811,244,24.538756715272456,Decline
811,331,31.077513430544894,Improve
838,146,32.85011185682326,Decline
838,152,26.42953020134228,Improve
838,174,25.852348993288587,Improve
838,182,29.427293064876963,Decline
838,194,20.97986577181208,Decline
838,201,17.36017897091722,Decline
838,203,30.796420581655475,Improve
838,236,17.315436241610733,Decline
869,130,25.488954344624442,Decline
869,146,45.565537555228275,Improve
869,152,33.980854197349046,Improve
869,201,27.790868924889548,Decline
869,203,40.20176730486009,Decline
869,236,29.99116347569956,Decline
869,244,14.854197349042712,Decline
869,283,6.662739322533137,Improve
869,323,21.185567010309278,Improve
869,331,22.59499263622975,Decline
873,130,15.12034383954155,Decline
873,146,30.464183381088823,Decline
873,152,28.856733524355302,Decline
873,182,25.616045845272208,Decline
873,188,17.484240687679083,Decline
873,201,24.116045845272208,Improve
873,203,42.356733524355306,Improve
873,229,22.461318051575933,Decline
873,234,17.38538681948424,Decline
873,321,28.259312320916905,Improve
889,130,23.0442035029191,Improve
889,146,42.95579649708091,Improve
889,152,41.39449541284403,Improve
889,182,36.73811509591326,Decline
889,201,17.84487072560467,Decline
889,203,37.236030025020845,Decline
889,321,22.859049207673056,Decline
893,130,27.489156626506023,Decline
893,152,25.113253012048194,Decline
893,174,30.616867469879516,Decline
893,201,20.337349397590362,Decline
893,203,26.88192771084337,Decline
893,229,36.602409638554214,Decline
893,236,36.34216867469878,Improve
893,244,30.19277108433735,Decline
934,130,18.77777777777778,Decline
934,146,26.04115226337449,Decline
934,152,23.03292181069959,Decline
934,174,20.144032921810698,Decline
934,182,33.419753086419746,Decline
934,201,16.810699588477366,Decline
934,203,19.761316872427983,Decline
934,321,17.56378600823045,Decline
946,146,36.96930533117932,Decline
946,152,28.705977382875606,Improve
946,194,18.974151857835217,Decline
946,201,28.405492730210007,Decline
946,220,32.462035541195476,Improve
946,229,21.26171243941842,Decline
946,236,30.130856219709205,Decline
946,244,25.642972536348953,Improve
946,283,3.84329563812601,Improve
946,331,27.36348949919224,Decline
973,130,24.51732101616628,Decline
973,146,27.066974595842957,Decline
973,152,28.411085450346427,Improve
973,174,24.526558891454968,Decline
973,188,28.771362586605083,Improve
973,201,30.01385681293303,Improve
973,244,33.50115473441109,Improve
973,283,2.8960739030023093,Decline
973,331,32.29099307159353,Decline
997,130,27.911247130833967,Improve
997,146,26.423871461361898,Decline
997,152,37.34506503442999,Decline
997,174,29.568477429227237,Decline
997,201,26.019892884468245,Decline
997,203,24.844682478959445,Decline
997,236,34.728385615914306,Improve
997,244,32.22647283856159,Decline
997,283,6.1423106350420795,Improve
997,323,21.08033664881407,Decline
997,331,35.834736036725324,Decline
