PlayerID,tr_gid,te_gid,hist_mpm,hist_mpm_te
130,811,788,23.19271489119559,23.91757027269714
130,869,788,23.69308683385038,23.91757027269714
130,873,788,25.17431690600508,23.91757027269714
130,889,788,24.042336954094,23.91757027269714
130,893,788,23.407343650724442,23.91757027269714
130,934,788,24.651826343399907,23.91757027269714
130,973,788,23.831891595058693,23.91757027269714
130,997,788,23.347045007249022,23.91757027269714
130,788,811,23.19271489119559,24.01433682686727
130,869,811,23.803677181473393,24.01433682686727
130,873,811,25.284907253628088,24.01433682686727
130,889,811,24.15292730171701,24.01433682686727
130,893,811,23.517933998347452,24.01433682686727
130,934,811,24.762416691022914,24.01433682686727
130,973,811,23.9424819426817,24.01433682686727
130,997,811,23.45763535487203,24.01433682686727
130,788,869,23.69308683385038,24.452162276690217
130,811,869,23.803677181473393,24.452162276690217
130,873,869,25.785279196282882,24.452162276690217
130,889,869,24.6532992443718,24.452162276690217
130,893,869,24.018305941002243,24.452162276690217
130,934,869,25.262788633677705,24.452162276690217
130,973,869,24.44285388533649,24.452162276690217
130,997,869,23.95800729752682,24.452162276690217
130,788,873,25.17431690600508,25.748238589825576
130,811,873,25.284907253628088,25.748238589825576
130,869,873,25.785279196282882,25.748238589825576
130,889,873,26.134529316526503,25.748238589825576
130,893,873,25.499536013156945,25.748238589825576
130,934,873,26.744018705832406,25.748238589825576
130,973,873,25.924083957491188,25.748238589825576
130,997,873,25.439237369681518,25.748238589825576
130,788,889,24.042336954094,24.75775613190338
130,811,889,24.15292730171701,24.75775613190338
130,869,889,24.6532992443718,24.75775613190338
130,873,889,26.134529316526503,24.75775613190338
130,893,889,24.367556061245864,24.75775613190338
130,934,889,25.612038753921325,24.75775613190338
130,973,889,24.79210400558011,24.75775613190338
130,997,889,24.30725741777044,24.75775613190338
130,788,893,23.407343650724442,24.202136991455014
130,811,893,23.517933998347452,24.202136991455014
130,869,893,24.018305941002243,24.202136991455014
130,873,893,25.499536013156945,24.202136991455014
130,889,893,24.367556061245864,24.202136991455014
130,934,893,24.977045450551767,24.202136991455014
130,973,893,24.157110702210552,24.202136991455014
130,997,893,23.672264114400882,24.202136991455014
130,788,934,24.651826343399907,25.291059347546046
130,811,934,24.762416691022914,25.291059347546046
130,869,934,25.262788633677705,25.291059347546046
130,873,934,26.744018705832406,25.291059347546046
130,889,934,25.612038753921325,25.291059347546046
130,893,934,24.977045450551767,25.291059347546046
130,973,934,25.401593394886017,25.291059347546046
130,997,934,24.916746807076347,25.291059347546046
130,788,973,23.831891595058693,24.573616442747483
130,811,973,23.9424819426817,24.573616442747483
130,869,973,24.44285388533649,24.573616442747483
130,873,973,25.924083957491188,24.573616442747483
130,889,973,24.79210400558011,24.573616442747483
130,893,973,24.157110702210552,24.573616442747483
130,934,973,25.401593394886017,24.573616442747483
130,997,973,24.096812058735132,24.573616442747483
130,788,997,23.347045007249022,24.149375678414025
130,811,997,23.45763535487203,24.149375678414025
