script,model_type,features_type,split_type,reg_mae,reg_rmse,reg_r2,clf_accuracy,clf_f1,clf_precision,clf_recall
04,LSTM,multivariate+hist,weighted,5.093,6.454,0.403,0.714,0.704,0.701,0.714
04,LSTM,multivariate+hist,cluster_only,5.507,6.945,0.308,0.714,0.714,0.714,0.714
05,ARIMA,arima_next1,arima_forecast,8.826,11.251,-0.762,0.596,0.606,0.647,0.596
05,ARIMA,arima_equal,arima_forecast,6.729,8.857,-0.092,0.566,0.576,0.606,0.566
05,ARIMA,arima_weighted,arima_forecast,6.893,9.153,-0.166,0.606,0.616,0.661,0.606
05,ARIMAX,arimax_equal,arima_forecast,5.893,7.654,0.185,0.525,0.537,0.579,0.525
05,ARIMAX,arimax_weighted,arima_forecast,6.143,8.065,0.095,0.566,0.576,0.628,0.566
06,Ridge_tuned,hc+hist,all_others,5.003,6.236,0.442,0,0,0,0.0
06,Ridge_tsfresh_tuned,tsfresh+hist,cluster_only,4.732,5.863,0.507,0,0,0,0.0
06,LSTM_tuned_h32_d3_lr10,multivariate+hist,all_others,0,0,0,0.747,0.743,0.741,0.747
06,LSTM_tuned_h16_d5_lr20,multivariate,combined,0,0,0,0.768,0.763,0.762,0.768
---,--- Q4 HSR per min (m/min) ---,n=99,,mean=26.35,std=8.52,median=26.75,min=2.90 max=45.79,IQR=21.22-30.94,skew=-0.334,
---,--- Q4 label (binary) ---,n=99,,Decline=65 (65.7%),Improve=34 (34.3%),majority_acc=0.657,threshold: ratio>=1=Improve,ratio<1=Decline,LOPO throughout,
