GameID,PlayerID,game_rank,series_mean,series_std,series_last,series_slope,last10_slope,Q4_HSR_per_min,Q4_label_binary,hist_mean_q4_mpm
788,119,0,31.037599999999998,10.653522715045948,18.86,0.12551452581032407,-3.5572121212121206,37.80753138075314,Improve,
788,130,0,22.2716,12.148371472753047,6.32,-0.30555102040816334,-0.1294545454545445,29.76569037656904,Improve,23.91757027269714
788,146,0,27.368000000000002,6.413094105032297,28.119999999999994,0.06013349339735886,0.9775757575757557,26.753138075313814,Decline,33.299481847309615
788,152,0,21.2084,9.99950085954294,27.959999999999997,-0.2554439375750298,0.7273939393939385,24.44769874476987,Improve,30.034589453741866
788,201,0,29.709600000000005,12.064329582883769,31.639999999999997,-0.33967763105242105,1.9723636363636305,14.000000000000002,Decline,22.664399878136038
788,244,0,38.2144,11.820222021603486,45.040000000000006,-0.3195486194477791,2.4181818181818144,25.93723849372385,Decline,26.82605420966236
788,283,0,3.8716000000000004,4.46127531542271,26.939999999999998,0.025616326530612257,2.2272727272727226,8.665271966527197,Improve,4.886104874675883
788,331,0,30.704000000000004,11.19345434545,21.880000000000003,-0.24819200823186383,1.5032727272727266,32.58995815899582,Improve,29.83234493485715
811,130,1,20.886,8.375405900611623,21.8,0.029239855942376984,2.132363636363638,28.99155794320798,Improve,24.01433682686727
811,146,1,31.14832,10.983065068440595,39.540000000000006,-0.06938352941176451,1.804606060606059,31.358403683806603,Decline,32.78778566858819
811,152,1,33.094800000000006,10.540854342325504,50.31,0.4344020579660433,-0.19357575757575796,27.075978511128163,Decline,29.771761477106033
811,155,1,35.4536,10.550573398635736,51.02,0.41006866746698684,1.6654545454545482,45.78511128165771,Improve,
811,174,1,28.480400000000003,7.310001357045017,32.22,0.030489315726290482,-0.007151515151513839,24.460475825019184,Decline,26.141657141132203
811,194,1,28.1322,6.519249739042062,36.47,-0.022949819927971214,1.3033939393939362,10.950115118956257,Decline,19.977008814823648
811,201,1,11.119200000000003,6.863817258639684,9.82,0.10919471788715485,1.9379393939393947,17.9447429009977,Improve,22.269925588036266
811,203,1,43.97358095238096,12.67751304319189,45.75999999999999,-0.16770335738691075,1.7692121212121168,25.584036838066005,Decline,31.72555407116036
811,244,1,34.3516,10.862648548553096,25.2,0.24936769374416437,1.2513939393939402,24.538756715272456,Decline,27.059134506070922
811,331,1,28.394000000000002,9.096501040711944,43.980000000000004,0.3252970673983877,1.5801212121212118,31.077513430544894,Improve,30.134833880547337
838,146,2,35.10813333333334,6.542388050585539,45.14,-0.2518623449379751,1.3733333333333304,32.85011185682326,Decline,32.622040316030784
838,152,2,24.0964,8.975401943088677,30.725000000000005,-0.14024729891956775,3.0680606060606044,26.42953020134228,Improve,29.836406308084623
838,174,2,15.47,8.356428004835559,16.02,0.25869243697478994,-0.8835757575757528,25.852348993288587,Improve,25.863282507478317
838,182,2,33.870799999999996,7.77122611690073,48.58,0.20283601440576218,0.37733333333333174,29.427293064876963,Decline,31.92463800920174
838,194,2,27.03783333333333,9.909252703351997,14.479999999999999,0.07600984393757501,-2.0313131313131256,20.97986577181208,Decline,14.962133488395736
838,201,2,19.908,9.14412773314109,13.219999999999999,-0.26882881152460975,0.3267878787878786,17.36017897091722,Decline,22.328381981044316
838,203,2,24.71953333333333,8.969043650492758,38.99999999999999,0.3726173669467788,1.8155757575757567,30.796420581655475,Improve,30.98092782207615
838,236,2,34.209333333333326,8.20784554218977,43.46,0.06187595038015189,2.634909090909091,17.315436241610733,Decline,32.79814349650546
869,130,3,32.6128,10.776455436274025,11.260000000000002,-0.1898518607442973,-3.372727272727272,25.488954344624442,Decline,24.452162276690217
869,146,3,42.33586666666667,11.036152315810877,39.040000000000006,-0.15088883553421323,-0.8069898989898981,45.565537555228275,Improve,31.20921523843023
